Utstein Data Element,Formula,Variables to collect
Percentage of “immediate” category survivors transported from the scene to receiving healthcare facilities per time unit after initiation of the response,,Number of transported T1 survivors from scene to healthcare facility within each identified time interval after the activation of the DMMP:  | 1 minute | 5 minutes | 10 minutes | 15 minutes | 30 minutes | 1 hour | Time of transport of T1 survivors from scene to healthcare facility (Departure from Scene) | Total number of survivors onsite | Time point of the activation of the DMMP
Percentage of “delayed” category survivors transported from the scene to receiving healthcare facilities per time unit after initiation of the response,,Number of transported T2 survivors from scene to healthcare facility within each identified time interval after the activation of the DMMP: | 1 minute | 5 minutes | 10 minutes | 15 minutes | 30 minutes | 1 hour | Time of transport of T2 survivors from scene to healthcare facility (Departure from Scene) | Total number of survivors onsite | Time point of the activation of the DMMP
Number of EMS BLS ambulances at the scene per time unit after initiation of the response,,Number of EMS BLS ambulances that arrived at the scene within each identified time interval after the activation of the DMMP: | 1 minute | 5 minutes | 10 minutes | 15 minutes | 30 minutes | 1 hour | Time point of the activation of the DMMP
Number of EMS ALS ambulances at the scene per time unit after initiation of the response,,Number of EMS ALS ambulances that arrived at the scene within each identified time interval after the activation of the DMMP: | 1 minute | 5 minutes | 10 minutes | 15 minutes | 30 minutes | 1 hour | Time point of the activation of the DMMP
Distribution of ill/injured survivors,Distribution of ill/injured survivors,Distribution of ill/injured survivors
Percentage of ill/injured survivors arriving in primary healthcare facilities independent of EMS system,,Number of ill/injured survivors who arrived at any primary healthcare facility without using EMS transportation | EMS transport use: Yes/No | Total number of ill/injured survivors who arrived at any primary healthcare facility
Percentage of ill/injured survivors arriving in secondary healthcare facilities independent of EMS system,,Number of ill/injured survivors who arrived at any secondary healthcare facility without using EMS transportation | EMS transport use: Yes/No | Total number of ill/injured survivors who arrived at any secondary healthcare facility
Percentage of ill/injured survivors arriving in tertiary healthcare facilities independent of EMS system,,Number of ill/injured survivors who arrived at any tertiary healthcare facility without using EMS transportation | EMS transport use: Yes/No | Total number of ill/injured survivors who arrived at any tertiary healthcare facility
Percentage of ill/injured survivors arriving in specialized healthcare facilities independent of EMS system,,Number of ill/injured survivors who arrived at any specialized healthcare facility without using EMS transportation | EMS transport use: Yes/No | Total number of ill/injured survivors who arrived at any specialized healthcare facility
Percentage of ill/injured survivors arriving in primary healthcare facilities transported by EMS system,,Number of ill/injured survivors who arrived at any primary healthcare facility using EMS transportation | EMS transport use: Yes/No | Total number of ill/injured survivors who arrived at any primary healthcare facility
Percentage of ill/injured survivors arriving in secondary healthcare facilities transported by EMS system,,Number of ill/injured survivors who arrived at any secondary healthcare facility using EMS transportation | EMS transport use: Yes/No | Total number of ill/injured survivors who arrived at any secondary healthcare facility
Percentage of ill/injured survivors arriving in tertiary healthcare facilities transported by EMS system,,Number of ill/injured survivors who arrived at any tertiary healthcare facility using EMS transportation | EMS transport use: Yes/No | Total number of ill/injured survivors who arrived at any tertiary healthcare facility
Percentage of ill/injured survivors arriving in specialized healthcare centers transported by EMS system,,Number of ill/injured survivors who arrived at any specialized healthcare facility using EMS transportation | EMS transport use: Yes/No | Total number of ill/injured survivors who arrived at any specialized healthcare facility
Percentage of ill/injured survivors arriving at the emergency departments per time unit after initiation of the response,,Number of ill/injured survivors who arrived at the emergency department within each identified time interval after the activation of the DMMP:  | 1 minute | 5 minutes | 10 minutes | 15 minutes | 30 minutes | 1 hour | Time of arrival of ill/injured survivors at the emergency department | Total number of ill/injured survivors who arrived at the emergency department | Time point of the activation of the DMMP
Percentage of interhospital transfer of ill/injured survivors,,Number of ill/injured survivors who were transferred out of the hospital | Transferred to other hospital: Yes/No | Total number of ill/injured survivors who arrived at the hospital
Triage upon arrival at the healthcare facility,Triage upon arrival at the healthcare facility,Triage upon arrival at the healthcare facility
Triage system used,,"Tertiary triage system used at the healthcare facility | ESI (If selected, succeeding Utstein elements cannot be computed since it doesn’t use T1, T2, T3, and T4 categories) | MASS | NATO | METTS (If selected, succeeding Utstein elements cannot be computed since it doesn’t use T1, T2, T3, and T4 categories; the color system has an additional orange and blue which will not fall under any of the T codes) | Other"
Time point at which the first ill/injured survivor has been triaged at the receiving healthcare facility,,DD:HH:MM of first triaged ill/injured survivor at the healthcare facility | DD:HH:MM of each ill/injured survivor at the healthcare facility
Time point at which the last ill/injured survivor has been triaged at the receiving healthcare facility,,DD:HH:MM of last triaged ill/injured survivor at the healthcare facility | DD:HH:MM of each ill/injured survivor at the healthcare facility
"Percentage of “immediate” category (T1) survivors triaged as “delayed” (T2), “minor” (T3), or “expectant” (T4)",,App: Symptom-centered triage assessment and decision of the healthcare facility staff (menus shown after the triage system had been previously selected) (See variables on Appendix C for the tertiary triage variables to be encoded in-app) | Number of true T1 survivors triaged as T2 | Number of true T1 survivors triaged as T3 | Number of true T1 survivors triaged as T4 | Total number of true T1 survivors triaged as T1
Percentage of “delayed” category (T2) survivors triaged as “minor” (T3) or “expectant” (T4),,App: Symptom-centered triage assessment and decision of the healthcare facility staff (menus shown after the triage system had been previously selected) (See variables on Appendix C for the tertiary triage variables to be encoded in-app) | Number of true T2 survivors triaged as T3 | Number of true T1 survivors triaged as T4 | Total number of true T2 survivors triaged as T2
Percentage of “delayed” category (T2) survivors triaged as “immediate” (T1),,App: Symptom-centered triage assessment and decision of the healthcare facility staff (menus shown after the triage system had been previously selected) (See variables on Appendix C for the tertiary triage variables to be encoded in-app) | Number of true T2 survivors triaged as T1 | Total number of true T2 survivors triaged as T2
Percentage of “minor” category (T3) survivors triaged as “immediate” (T1) or “delayed” (T2),,App: Symptom-centered triage assessment and decision of the healthcare facility staff (menus shown after the triage system had been previously selected) (See variables on Appendix C for the tertiary triage variables to be encoded in-app) | Number of true T3 survivors triaged as T1 | Number of true T3 survivors triaged as T2 | Total number of true T3 survivors triaged as T3
Responder safety and health,Responder safety and health,Responder safety and health
Establishment of responder safety and health actions,,Responder safety | Yes | No | Unknown
Time point at which the decision is made to provide responders with personal protective equipment (PPE),,DD:HH:MM of decision time for responders to wear PPE
Percentage of killed responders during the acute response phase,,Time of DMMP activation | Time of the last healthcare facility’s deactivation of disaster response plan | Number of killed responders from DMMP activation to the last healthcare facility’s deactivation of disaster response plan | Total number of deployed responders from DMMP activation to the last healthcare facility’s deactivation of disaster response plan
Percentage of ill/injured responders seeking medical care during the acute response phase,,Time of DMMP activation | Time of the last healthcare facility’s deactivation of disaster response plan | Number of ill/injured responders from DMMP activation to the last healthcare facility’s deactivation of disaster response plan | Total number of deployed responders from DMMP activation to the last healthcare facility’s deactivation of disaster response plan
Deactivation of disaster medical management plan,Deactivation of disaster medical management plan,Deactivation of disaster medical management plan
Time point at which scene medical responders at the scene are demobilized,,DD:HH:MM of the discontinuation of care by responders
Time point at which the last healthcare facility deactivates its disaster response plan,,DD:HH:MM of the last healthcare facility’s deactivation of disaster response plan
Continuity of care for non-disaster-related ill and injured patients,Continuity of care for non-disaster-related ill and injured patients,Continuity of care for non-disaster-related ill and injured patients
The extent of disruption of the normal EMS call coverage,,Normal EMS call coverage disruption | No | Minimal | Moderate | Total | Unknown
The extent of disruption of the routine care in the healthcare facilities,,Healthcare facility routine care disruption | No | Minimal | Moderate | Total | Unknown
Emergency department (ED) resources utilization,Emergency department (ED) resources utilization,Emergency department (ED) resources utilization
"Percentage of ill/injured survivors seeking emergency care at ED or similar type of facility, categorized by triage category",,Number of ill/injured T1 survivors who sought ED/similar facility care | ED/similar facility care use: Yes/No (Yes if box for “For Referral/Transfer to Health Facility” was ticked) | Number of ill/injured T2 survivors who sought ED/similar facility care | ED/similar facility care use: Yes/No (Yes if box for “For Referral/Transfer to Health Facility” was ticked) | Number of ill/injured T3 survivors who sought ED/similar facility care | ED/similar facility care use: Yes/No (Yes if box for “For Referral/Transfer to Health Facility” was ticked) | Number of ill/injured T4 survivors who sought ED/similar facility care | ED/similar facility care use: Yes/No (Yes if box for “For Referral/Transfer to Health Facility” was ticked) | Total number of ill/injured survivors who sought ED/similar facility care
"Percentage of ill/injured survivors seeking emergency care at ED or similar type of facility admitted to hospital, categorized by triage category",,Number of ill/injured T1 survivors who were admitted after ED/similar facility care | Hospital admission after ED/similar facility care: Yes/No | Number of ill/injured T2 survivors who were admitted after ED/similar facility care | Hospital admission after ED/similar facility care: Yes/No | Number of ill/injured T3 survivors who were admitted after ED/similar facility care | Hospital admission after ED/similar facility care: Yes/No | Number of ill/injured T4 survivors who were admitted after ED/similar facility care | Hospital admission after ED/similar facility care: Yes/No | Total number of ill/injured survivors who were admitted after ED/similar facility care
"Percentage of ill/injured survivors seeking emergency care at ED or similar type of facility discharged to home, categorized by triage category",,Number of ill/injured T1 survivors who were discharged after ED/similar facility care | Hospital discharge after ED/similar facility care: Yes/No | Number of ill/injured T2 survivors who were discharged after ED/similar facility care | Hospital discharge after ED/similar facility care: Yes/No | Number of ill/injured T3 survivors who were discharged after ED/similar facility care | Hospital discharge after ED/similar facility care: Yes/No | Number of ill/injured T4 survivors who were discharged after ED/similar facility care | Hospital discharge after ED/similar facility care: Yes/No | Total number of ill/injured survivors who were discharged after ED/similar facility care
"Median time interval from onset of disaster to the arrival of ill/injured survivors at the ED or similar type of facility, categorized by triage category","Example: | Disaster onset: 12:00 | T1 A Arrival: 12:30 = 30 minutes | T2 B Arrival: 12:45 = 45 minutes | T2 C Arrival: 13:00 = 60 minutes | Median of 30, 45, and 60 = 45 minutes",Time of disaster onset | Time of arrival of ill/injured T1 survivors at the ED/similar facility | Time of arrival of ill/injured T2 survivors at the ED/similar facility | Time of arrival of ill/injured T3 survivors at the ED/similar facility | Time of arrival of ill/injured T4 survivors at the ED/similar facility
